Time,Korea,Israel,Japan,Turkiye,Canada,Mexico,USA,Chile,Colombia,Costarica,Austria,Belgium,Czech,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Latbia,Lithuania,Luxembourg,Netherland,Norway,Poland,Portugal,Slovakia,Slovenia,Spain,Sweden,Switzerland,UK,Australia,Newzealand
Year,Cost,Cost,Cost,Cost,Cost,Cost,Cost,Cost,Cost,Cost,Cost,Cost,Cost,Cost,Cost,Cost,Cost,Cost,Cost,Cost,Cost,Cost,Cost,Cost,Cost,Cost,Cost,Cost,Cost,Cost,Cost,Cost,Cost,Cost,Cost,Cost,Cost,Cost
1970,73507.086,,3339000,,5835,,67044,,,,1405.42,1276.55,7543,,,400.29,6538.03,20599.95,,,21.6,114.28,,,,,,3655,,26.29,,,540.98,10697,5202.4,2162,,300
1971,78514.292,,3768000,,6627,,74340,,,,1546.7,1429.9,,10881,,466.39,,24755.73,,,30.04,154.91,,,,,,4387,,31.54,,,695.65,12487,6173.82,2445,2022.8,350
1972,88784.599,,4416000,,7307,,83349,,,,1765.95,1663.61,,12542,,553.67,,28401.24,,,37,189.19,,,,,4449.77,5303,,45.31,,,861.51,13898,6949.65,2782,2262,405
1973,98277.731,,5235000,,8152,,93092,,,,2040,2019.61,,14101,,655.09,,33185.4,,,47.6,233.63,,,,,5157.21,6221,,59.64,,,1016.02,15397,7858.38,3159,2719,493
1974,122138.856,,6858000,,9555,,105882,,,,2431.05,2403.9,,17262,,815.71,,38678.72,,,79.1,279.34,,,,,6068.4,7200,,76.69,,,1354.65,18088,9106.01,4098,3637.9,605
1975,244567.275,0.41,8378000,0.02,11560.98,,121107,,,,3299.06,3321.75,11271,19852,,1030.99,14520.98,44173.57,,,122,359.34,,,,,7113.46,8926,,116.71,,,1655.49,22209,10307.51,5391,4794,744
1976,338312.71,0.62,9410000,0.02,13390.8,,139292,,,,3774.92,3916.72,,22746,,1240.39,,48019.51,,,161,430.44,,,,132.2,8032.36,10442,,140.4,,,2218.13,26213,10806.86,6407,5550,846
1977,412099.177,1,10748000,0.03,14746.87,,159947,,,,4136.54,4582.31,,24682,,1406.72,,50740.09,,,230.2,502.82,,,,147.77,8835.55,12258,,167.25,,,2964.38,31673,11089.22,7309,6375,991
1978,603416.689,1.81,12235000,0.05,16274.38,,180045,,,,4550.19,5071.41,,27886,,1540.6,,54630,,,384,627.25,,,,170.65,9705.45,14859,,216.96,,,3655.96,35529,11554.9,8405,7041.9,1200
1979,1010082.76,3.69,13542000,0.09,18261.94,,204567,,,,4973.29,5408.79,,31372,,1744.61,,58242.79,,,641.2,773.27,,,,188.62,10566.27,14983,,266.04,,,4232.13,39251,12247.77,9826,7834.4,1300
1980,1365709.975,8.57,15657300,0.17,21095.59,,235473,,,,5417.91,5682.71,14461,33739,,1991.18,30534.31,63852.18,,,957.4,1008.7,,,,209.7,11468.39,17218,,393.39,,,4968.81,46427,13224.36,12308,8869.63,1382.2
1981,1774105.06,19.66,17018300,0.28,24922.35,,273417,,,,4952.8,6357.97,,37797,,2299.3,,69344.98,,,1521.6,1157.86,,,,229.35,12273.85,19858,,493.23,,,5728.7,51400,14324.49,14220,10254.6,1660
1982,2021747.027,45.97,18309100,0.31,29092.69,,308037,,,,5300.97,7118.31,,43413,,2625.25,,70777.62,,,2501.9,1336.44,,,,250.47,13113.79,22803,,615.31,,,6706.59,56864,15486.09,15102,11549.57,1925
1983,2327020.519,126.99,19340200,0.42,32290.54,,339453,,,,5490.94,7725.92,,46684,,2971.04,,73838.73,,,4759.3,1481.21,,,,270.53,13570.3,26179,,726.17,,,7858.72,63006,16804.27,17188,12914.51,2090
1984,2551421.115,752,19940700,0.64,34885.78,,375119,,,,5811.72,8157.9,,48787,,3349.63,,78529.32,,,5927.3,1607.02,,,,294.23,13735.47,27750,,911.5,,,8556.86,68977,17361.43,18171,14154.04,2244
1985,2890670.24,2124.2,21626600,0.72,37791.65,,412835,,,,6267.89,8739.56,18888,52766,,3878.08,58125.81,83489.36,,,8375,1746.89,,,,315.97,14187.89,30805,,1237.08,,,9294.54,71174,19885.751,19596,15808.74,2382
