Country,Year,Doctor,Doctor_1000
Korea,1981,19275,0.5
Korea,1982,21551,0.55
Korea,1983,21749,0.54
Korea,1984,23043,0.57
Korea,1985,24830,0.61
Korea,1986,26587,0.65
Korea,1987,28204,0.68
Korea,1988,31197,0.74
Korea,1989,33791,0.8
Korea,1990,35781,0.83
Korea,1991,38907,0.9
Korea,1992,42394,0.97
Korea,1993,45477,1.03
Korea,1994,47740,1.07
Korea,1995,50635,1.12
Korea,1996,53372,1.17
Korea,1997,56662,1.23
Korea,1998,58684,1.27
Korea,1999,61182,1.31
Korea,2000,60895,1.3
Korea,2001,65715,1.39
Korea,2002,70923,1.49
Korea,2003,75045,1.57
Korea,2004,75236,1.56
Korea,2005,78342,1.63
Korea,2006,81666,1.69
Korea,2007,84464,1.73
Korea,2008,90532,1.85
Korea,2009,94672,1.92
Korea,2010,98293,1.98
Korea,2011,101370,2.03
Korea,2012,104114,2.07
Korea,2013,108909,2.16
Korea,2014,111694,2.2
Korea,2015,114322,2.24
Korea,2016,117450,2.29
Korea,2017,120630,2.35
Korea,2018,123230,2.39
Korea,2019,127258,2.46
Korea,2020,130014,2.51
Korea,2021,132479,2.56
Israel,1996,20267,3.56
Israel,1997,21133,3.63
Israel,1998,22067,3.7
Israel,1999,22167,3.62
Israel,2000,21667,3.45
Israel,2001,21033,3.27
Israel,2002,21533,3.28
Israel,2003,22500,3.36
Israel,2004,22767,3.34
Israel,2005,22300,3.22
Israel,2006,21317,3.02
Israel,2007,21490,2.99
Israel,2008,21958,3
Israel,2009,22431,3
Israel,2010,22928,3.01
Israel,2011,23308,3
Israel,2012,23494,2.97
Israel,2013,23725,2.94
Israel,2014,24494,2.98
Israel,2015,25731,3.07
Israel,2016,26358,3.08
Israel,2017,27353,3.14
Israel,2018,28618,3.22
Israel,2019,29803,3.29
Israel,2020,30529,3.31
Israel,2021,31396,3.35
Japan,1960,96038,1.02
Japan,1961,97329,1.02
Japan,1962,98562,1.03
Japan,1963,99471,1.02
Japan,1964,101021,1.03
Japan,1965,102015,1.03
Japan,1966,103956,1.04
Japan,1967,104990,1.04
Japan,1968,107028,1.05
Japan,1969,109595,1.06
Japan,1970,113214,1.08
Japan,1971,116746,1.1
Japan,1972,119084,1.11
Japan,1973,120107,1.1
Japan,1974,122096,1.1
Japan,1975,125970,1.13
Japan,1976,128448,1.14
Japan,1977,131628,1.15
Japan,1978,136164,1.18
Japan,1979,143125,1.23
Japan,1980,148815,1.27
Japan,1981,155422,1.32
Japan,1982,160379,1.35
Japan,1984,173452,1.44
Japan,1985,,
Japan,1986,183129,1.51
Japan,1988,193704,1.58
Japan,1990,204001,1.65
Japan,1992,211847,1.7
Japan,1994,221714,1.77
Japan,1996,231425,1.84
Japan,1998,238771,1.89
Japan,2000,245315,1.93
Japan,2002,251889,1.98
Japan,2004,259336,2.03
Japan,2006,266431,2.08
Japan,2008,274992,2.15
Japan,2010,283548,2.21
Japan,2012,292039,2.29
Japan,2014,300075,2.36
Japan,2016,308105,2.43
Japan,2018,315406,2.49
Japan,2020,327403,2.6
Canada,2000,61748,2.01
Canada,2001,62488,2.01
Canada,2002,63498,2.02
Canada,2003,63780,2.02
Canada,2004,65301,2.04
Canada,2005,66688,2.07
Canada,2006,67886,2.08
Canada,2007,69833,2.12
Canada,2008,71990,2.17
Canada,2009,75312,2.24
Canada,2010,77488,2.28
Canada,2011,80762,2.35
Canada,2012,83629,2.41
Canada,2013,86406,2.46
Canada,2014,88873,2.51
Canada,2015,91268,2.56
Canada,2016,94643,2.62
Canada,2017,97212,2.66
Canada,2018,100710,2.72
Canada,2019,102850,2.74
Canada,2020,103739,2.73
Canada,2021,106042,2.77
Canada,2022,107047,2.75
Mexico,1990,81843,0.97
Mexico,1991,99399,1.16
Mexico,1992,114727,1.31
Mexico,1993,129840,1.46
Mexico,1994,141059,1.56
Mexico,1995,151579,1.65
Mexico,1996,153864,1.65
Mexico,1997,159947,1.69
Mexico,1998,163925,1.71
Mexico,1999,166839,1.71
Mexico,2000,160861,1.63
Mexico,2001,152064,1.52
Mexico,2002,155246,1.53
Mexico,2003,162747,1.58
Mexico,2004,172771,1.66
Mexico,2005,187115,1.77
Mexico,2006,202320,1.89
Mexico,2007,209772,1.93
Mexico,2008,216021,1.96
Mexico,2009,222570,1.99
Mexico,2010,228028,2
Mexico,2011,243008,2.11
Mexico,2012,247663,2.12
Mexico,2013,256131,2.16
Mexico,2014,267949,2.23
Mexico,2015,283275,2.33
Mexico,2016,286675,2.34
Mexico,2017,297307,2.4
Mexico,2018,305985,2.44
Mexico,2019,309418,2.44
Mexico,2020,307501,2.41
Mexico,2021,324292,2.51
USA,1993,550448,2.12
USA,1994,562456,2.14
USA,1995,582131,2.19
USA,1996,598924,2.22
USA,1997,620631,2.28
USA,1998,621736,2.25
USA,1999,625334,2.24
USA,2000,647430,2.29
USA,2001,668939,2.35
USA,2002,674824,2.35
USA,2003,691873,2.38
USA,2004,700287,2.39
USA,2005,718473,2.43
USA,2006,723118,2.42
USA,2007,732234,2.43
USA,2008,740867,2.44
USA,2009,749566,2.44
USA,2010,752572,2.43
USA,2011,767782,2.46
USA,2012,784633,2.5
USA,2013,809845,2.56
USA,2014,820251,2.58
USA,2015,827261,2.58
USA,2016,835987,2.59
