Year,Korea,Israel,Japan,Turkey,Canada,Mexico,USA,Chile,Columbia,Costarica,Austria,Belgium,Czech,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Latvia,Lituania,Luxembourg,Netherland,Norway,Poland,Portugal,Slovakia,Slovenia,Spain,Sweden,Switzerland,UK,Australia,Newzealand
1960,,,130.6,,45,,37.1,,,,87.3,,,,,71.8,,,66.8,,0,57.6,,,,,38.9,,42.6,,44.1,,,,57.2,47,52.5,
1961,,,120.4,,46,,36.9,,,,64.6,,,,,54.9,,69.3,79.6,,43.8,45.1,,,,,37.6,,37.8,,45.8,,,,47.4,42,45,
1962,,,112,,41,,35.2,,,,69,,,,,51.6,,65.1,57.2,,42.5,43.7,,,,,34.5,,37.4,,34.6,,,,55.6,44,35.9,
1963,,,102.5,,35,,35.8,,,,60.1,,,,,49.9,,58.2,54.6,,20.8,34.8,,,,,31.6,,35.8,,34.4,,,,33.6,37,27.2,
1964,,,99,,30,,33.3,,,,48.6,,,,,42.3,,51.6,41.8,,62.7,46.8,,,,,33.1,,48.8,,43.7,,,,53.1,31,32.7,
1965,,,87.6,,32,,31.6,,,,42.3,,,,,25.7,,53.1,45.6,,21.2,28.3,,,,,26.5,,37.5,,29.7,,,,35.8,32,33.2,
1966,,,93,,35,,29.1,,,,41.2,,,,,30.9,,51.8,51.1,,21.3,28.9,,,,,20.5,,37.6,,28.2,,,,41,32,29.5,
1967,,,70.5,,24,,28,,,,40,,,,,20.7,,58.2,48.5,,0,22.8,,,,,25.6,,33,,32.2,,,,32.6,28,23.1,
1968,,,68.1,,27,,24.5,,,,36.5,,,,,28.5,,51.6,36.8,,0,36.1,,,,,21.5,,30.6,,38,,,,27.6,28,28.2,
1969,,,57.9,,21,,22.2,,,,33,,,,,14.8,,53.1,22.7,,23.7,31.8,,,,,19.4,,32.7,,21.3,,,,29.3,26,17.6,
1970,,22.3,52.1,,20,197.4,21.5,,,,25.8,,,,88.2,12.4,28.2,51.8,28.3,42.2,0,31.1,54.5,,,45.3,13.4,10.8,29.4,,26,,33.1,10,25.2,24,25.6,
1971,,15.1,45.2,,18,194.6,18.8,,,,30.4,,,,72.3,8.2,22.2,50.5,40.4,35.2,46.8,25.2,51.5,,,67.5,13.2,19.8,22.3,54.5,18.1,,29.9,7.9,27,21,18.5,
1972,,19.9,40.6,,16,185.4,18.8,,,,25,,,,64.4,12,25.4,42.7,29.8,43.1,0,40.9,46.1,,,24.5,10.7,6.2,17.8,55,25.1,,32.1,7.1,21.9,19,12.5,
1973,,13.6,38.3,208,11,159.9,15.2,,,,22.4,,,,42.4,10.6,24.1,45.9,25.5,37.8,21.8,11.6,42.5,,,52.6,10.3,3.3,19,59.2,17.2,,26.9,2.7,18.3,18,11.3,
1974,,11.8,34.5,,10,157,14.6,,,,19.5,,,,41.9,4.8,22.2,34,18.1,38.7,0,21.8,29.4,,,0,14,6.7,17.3,47.7,5.1,,26.5,7.3,11.8,17,11.4,
1975,,16.7,28.7,,7,152.5,12.8,,,,17.1,,,,42.1,10.7,19.9,39.6,18.3,26.8,22.8,7.4,25.4,,,75.3,10.7,7.1,14.7,42.9,4.1,,21.7,1.9,12.7,16,5.6,
1976,,9.1,25.9,,7,152.3,12.3,,,,21.7,,,,64.2,9,17.5,36.3,19.8,20,0,16.2,23.3,,,51.1,5.1,13.1,14.1,44.5,12,,20.5,4.1,8.1,17,13.2,
1977,,16.8,23.1,,5,146.8,11.2,,,,18.7,,,,36.4,7.6,15.7,34,20.2,19.7,0,11.6,16.9,,,74,12.7,9.8,12.8,46.4,2,,13.4,11.5,4.1,17,8,
1978,,9.7,22.1,,6,144.5,9.6,,,,15.2,,15,,54.9,3.1,15.5,25.5,19.8,22,0,17.1,17.1,,,73.7,10.8,1.9,16.1,32.8,11,,12.9,6.4,18.2,14,6.7,
1979,,10.7,22.9,,7.4,142.5,9.6,,,,12.7,,25,,18.3,6.3,12,22,14.2,15.6,0,9.7,12.2,,,24.5,6.9,13.6,14.5,30.6,1,,10.4,1,11.1,11,8.1,11.5
1980,,6.4,20.5,,7.6,133.9,9.2,55,,,7.7,,21,,27,1.6,12.9,20.6,17.6,20.9,0,6.8,12.8,,,0,8.8,11.8,11.6,19.6,8.4,,11,8.2,5.4,11,9.8,13.8
1981,,0,19.2,132,6.2,129.4,8.5,44,,,13.8,,21,,26.2,4.7,15.5,20,11.4,17.5,0,4.2,13.1,,,0,7.8,2,13.1,19.1,2.1,,9.6,4.3,6.8,10,10.6,3.9
1982,,3.1,18.4,,1.9,125.8,7.9,53,,,16.9,,20,,34.6,4.5,13.8,17.7,11.7,27.7,0,5.7,9.3,,,0,6.4,,14.2,22.5,4.3,,10.5,4.3,12,7,10.4,14
1983,,2,15.5,,5.4,121.7,8,42,,,11.1,,21,,24.7,3,15.1,11.4,14.3,14.9,0,11.9,9,,,0,5.3,4,16.2,15.9,1.1,,7.6,0,5.4,9,6.2,17.8
1984,,5.1,15.3,,3.2,108.4,7.8,35,,,4.5,,18,,16.5,1.5,14.2,10.8,8.8,15.2,0,6.2,9,,,0,9.8,2,14.1,15.4,12.1,,5.1,2.1,1.3,9,7.7,5.8
1985,,6,15.8,,4,96.5,7.8,50,,,6.9,,14,,46.6,6.4,12,10.7,6.9,26.1,0,6.4,8,,22.2,0,4.5,2,11,10,5.6,15.5,4.4,5.1,5.4,8,4.4,13.5
1986,,4,13.5,,3,92.3,7.2,47,,,6.9,,28,,29,6.6,10.9,8,8,14.8,0,4.9,5.5,,26.8,0,8.1,3.8,13,8.7,4.6,24,5.5,2.9,3.9,7,6.2,17
1987,,8.1,12,,4.1,87.8,6.6,48,,,4.6,3.4,15,,39.9,5,9.6,8.7,4.7,13.5,23.9,3.4,4.5,,21.9,23.6,7.5,5.6,15.5,12.2,3.6,3.9,4.9,4.8,6.5,6,5.3,12.7
1988,,5,9.6,,4.8,87.1,8.4,41,,,5.7,2.5,19,,23.9,11.1,9.3,8.9,5.6,16.9,0,1.8,7.6,,19.4,0,9.6,3.5,11.5,6.6,16.8,11.9,5,8.9,10,6,4.9,17.4
1989,,6.9,10.8,,4.1,85.9,7.9,41,,,7.9,6.6,13,,41.1,3.2,8.5,5.3,3.9,15.4,0,3.8,4.6,,28.7,0,5.3,8.4,10.6,10.1,10,4.3,2.9,5.2,3.7,8,5.2,10.3
1990,,12.6,8.6,100,2.5,89.3,8.2,40,,,6.6,3.4,19,,31.4,6.1,10.4,9.1,1,20.7,21,3.8,8.6,,22.9,20.3,7.6,3.3,12.8,10.3,6.3,8.9,5.5,3.2,6,8,6.1,6.6
1991,,8.5,9,,3,87.2,7.9,35,,,7.4,4,17.8,,30.9,4.6,11.9,8.7,2.9,12.6,0,5.7,4.9,,19.6,0,6,8.2,12.8,12,14,4.6,3.3,4,1.2,7,5.1,15
1992,,5.5,9.2,,4.8,86.4,7.8,31,,,4.2,5.6,12.3,,22.2,4.5,12.9,6.7,5.8,9.9,0,3.9,7.2,,20.2,0,7.1,6.7,9.9,9.6,1.3,5,4.8,0,4.6,6.7,3.4,8.4
1993,,2.7,7.7,,3.9,85.2,7.5,34,,,4.2,5,12.4,,32.8,3.1,9.3,5.5,1,18.8,0,2,4.3,,12.6,0,8.2,3.4,11.7,6.1,12.3,10.1,3.1,5.1,6,5.7,5.8,17
1994,,5.2,6.1,,3.6,83.9,8.3,25,,,8.7,6,15,,56.4,10.7,11.7,5.2,1.9,10.4,0,2.1,3.6,,16.5,18.4,6.1,0,11,9.2,6,10.3,3.5,0.9,3.6,7.9,6.2,7
1995,20,6,7.6,,4.5,82.2,7.1,31,,,1.1,9.5,6.2,,51.8,1.6,9.5,5.4,0,15.2,0,0,3.2,,17,18.5,7.3,6.6,9.9,8.4,8.1,5.3,3,3.9,8.5,7,9.4,3.5
1996,20,7.4,6.6,,4.9,81.5,7.6,23,,,4.5,5.2,7.7,,0,3.3,13.2,6.4,4,11.4,0,5.9,3.8,,12.8,0,12.1,1.6,4.9,5.4,5,26.6,3,5.3,3.6,6.6,4.7,7
1997,,9.6,6.8,,5.5,79.3,8.4,22,,,2.4,8.6,5.5,7.5,15.9,5.1,9.6,6,0,20.9,0,5.7,4.3,,15.9,0,7.8,1.7,5.8,5.3,3.4,11.1,2.2,3.3,3.7,5.4,4.8,5.2
1998,,8.5,7.4,70,3.8,79.8,7.1,20,85.3,,4.9,12.3,6.6,3.1,16.4,5.3,10.2,5.6,6.9,6.2,0,3.7,3,,16.2,18.6,11.5,6.9,4.8,7.9,8.7,0,2.7,7.9,3.8,6.8,2.8,6.9
1999,18,6.8,6.7,,2.4,81.6,9.9,23,88.3,,1.3,5.3,10.1,6.1,16.1,3.5,7.4,4.8,6,4.2,0,1.9,2.7,,13.7,0,9.5,8.4,5.5,5.2,10.7,17.3,3.7,1.1,7.7,5.4,4.4,7
2000,15,3.7,7.1,,3.4,75.4,9.8,18.7,100.7,35.8,2.6,5.2,9.9,0,45.9,5.3,6.5,5.6,0,10.2,0,1.8,3,24.8,8.8,17.5,8.7,3.4,7.9,2.5,1.8,22.1,3.5,4.5,6.4,6.8,6,8.8
2001,,6.6,6.7,,7.8,70,9.9,17.4,94,32.7,6.6,13,8.8,3.1,7.9,5.3,8.5,3.5,3.9,5.2,24.4,5.2,2.1,25.4,12.8,0,6.9,5.3,3.5,6.2,15.6,22.9,4.2,3.3,1.4,7.5,4.9,5.3
2002,16,5,7.8,64,4.6,56.9,8.9,17.1,80.2,38,2.6,3.5,4.3,3.2,7.7,5.4,12,2.8,1,8.3,0,8.3,3.4,5,20.3,0,9.9,3.6,5.4,6.1,7.9,0,3.4,4.2,4.1,6,4.8,14.7
2003,15,2.1,6.6,61,6.9,57.2,12.1,12.2,73.7,32.9,2.6,6.1,7.5,1.6,30.7,3.5,9.1,4.2,1.9,7.4,0,0,5.2,14.3,3.3,0,4,12.4,4,7.1,3.9,0,4.5,2,5.6,7.9,3.2,7.1
2004,,4.1,5,50.2,5.9,54.1,13.1,17.3,74.8,30.5,3.8,1.7,8.2,0,28.6,12.1,8.8,5.1,2.8,4.2,0,1.6,3.7,9.8,16.8,18.3,5.2,0,4.8,8.2,5.6,11.2,4.6,2,5.5,7.7,4.3,6.8
2005,14,2.8,6.2,39.3,8.8,54.5,15.1,18.5,70.1,37.7,3.8,5,14.7,0,13.9,5.2,7.9,3.8,0,5.1,0,1.6,2.6,4.6,13.6,18.6,8.5,3.5,3,2.7,3.7,16.6,3.9,6,5.5,5.7,3.4,8.5
2006,15,7.4,5.8,28.5,7.9,51.3,13.3,19.3,71.4,39.3,2.6,8.2,14.2,7.8,6.7,6.8,8.3,5.5,2.7,8,0,0,2,13.5,0,0,8.1,8.5,2.9,5.7,5.6,26.4,2.9,4.8,8.2,7.2,4.1,11.6
2007,15,4.6,3.6,21.9,6.5,48.3,12.7,18.2,72,19.1,3.9,5.6,3.5,3.1,0,1.7,11.1,3.8,1.8,8.2,0,2.8,2.3,25.8,6.7,18.3,5,6.8,2.8,4.9,0,15.1,2.6,1.9,1.3,7.1,2.1,20
2008,12,5.1,3.8,19.8,9,49.3,,16.5,60.7,33.3,2.6,6.3,12.5,6.2,0,8.4,8.8,5.1,0,17.1,0,4,2.3,12.5,9.5,17.9,4.3,5,4.6,3.8,3.5,13.8,4.6,5.6,10.4,6.9,2,9.2
2009,13.5,3.1,5.7,19,7.6,53.2,,19.7,67.3,26.7,2.6,4.7,8.4,6.4,0,1.7,8.6,5.1,3.4,18.7,0,4,3.4,46.1,0,0,4.9,1.6,1.9,7,11.4,4.6,3.4,5.5,3.8,8,3,15.8
2010,15.7,4.2,4.6,16.7,6.4,43.7,,17.9,71.6,22.6,1.3,6.1,7.7,0,6.3,4.9,10.2,5.2,5.2,15.5,0,1.3,2.9,26.1,6.5,17,2.2,4.9,2.2,7.9,0,0,4.1,2.6,3.7,5,4.3,7.7
2011,17.2,1.2,4.1,15.8,4.8,42.9,,16.1,68.8,24.5,2.6,8.5,10.1,5.1,13.6,0,8.4,4.7,3.8,10.2,22.3,2.7,2.6,5.4,6.6,0,1.7,4.9,2.3,5.2,9.9,0,3,0.9,3.7,6.6,4.3,11.3
2012,9.9,5.3,4.8,15.2,5.8,42.1,,17.2,65.9,30,1.3,3.1,5.5,0,7.1,3.4,8.7,4.6,1,10,0,2.8,2.1,20.5,9.8,16.6,3.4,0,1,4.5,3.6,9.2,2.2,5.4,8.5,6.4,5.2,11.3
2013,11.5,4.7,4,15.7,6,37.9,,15.2,55.2,19.8,1.3,2.4,1.9,3.6,7.3,1.7,8.9,4.1,0,14.7,0,4.3,2.8,24.7,6.7,16.4,2.3,3.3,1.9,6,1.8,4.8,4.2,6.2,2.4,6.4,1.9,16.8
2014,11,2.8,3.3,15,6,38.7,,13.5,53.7,29.3,8.6,5.6,6.4,5.3,0,5.3,7.6,4.1,4.3,6.6,0,1.5,1.2,14,3.3,0,2.9,3.3,2.1,7.3,3.6,4.8,2.1,3.5,5.9,6.7,4,5.1
2015,8.7,3.9,4.4,14.6,7.1,35,,15.5,53.7,27.8,4.7,3.3,6.3,0,0,3.6,7.6,3.3,5.4,5.5,0,1.5,3.4,55.2,9.5,0,3.5,0,1.6,7,1.8,5,3.6,1.7,6.9,4.5,2.6,9.7
2016,8.4,2.2,3.7,14.7,6.3,37.2,,9,51.3,28.6,5.7,4.1,7.1,3.2,14.4,5.6,,2.9,6.5,11.8,0,6.2,2.8,23,6.5,0,3.4,0,2.4,6.9,6.9,5,3.7,2.5,3.4,6.6,3.9,1.7
2017,7.8,2.7,3.8,14.5,6.6,35,,17.3,51,23.3,2.3,5,7,1.6,0,8,,2.8,11.3,15.3,0,1.6,3.5,4.8,7,32.4,1.8,0,2.2,12.8,5.2,5,3.3,4.3,4.6,5.5,1.9,6.6
2018,11.3,3.3,3.6,13.5,8.6,34.6,17.4,13.5,45.3,16.1,7.1,7.6,4.4,1.6,0,4.2,,3.2,4.6,10,0,0,2.5,15.7,14.2,0,3,1.8,1.3,17.2,3.5,0,1.9,4.3,6.8,,4.8,13.6
2019,9.9,3.3,3.7,13,7.5,34.2,20.1,10.9,50.7,20.2,5.9,,4.5,0,0,10.9,,3.2,7.2,11.2,0,0,2.9,37.6,11,0,5.3,0,1.1,10.4,0,0,1.7,3.5,7,,3.9,
2020,11.8,2.8,2.7,13.1,8.4,53.2,23.8,21,65.8,34.4,2.4,,6.4,0,7.7,4.3,,3.6,3.5,15.2,3.3,0,2.7,22.9,0,0,1.2,3.7,2.5,20.1,1.8,5.5,2.9,7,1.2,,2,
2021,8.8,8.1,3.4,13.1,,58.6,,19.2,83.2,40.5,3.5,,6.3,0,0,4,,3.5,,25.8,,,,34.6,0,0,2.8,3.7,2.1,8.8,1.8,,3.3,2.6,,,3.5,
2022,,,,,,,,14.3,,15,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
